Sample,Yobs_logCO2,Yobs_LogViscosity
1,-0.555,2.722
2,-0.839,2.392
3,-0.974,1.615
4,-1.471,1.835
5,-1.475,1.546
6,-1.463,1.401
7,0.74,1.719
8,0.607,1.47
9,0.521,1.487
10,-1.52,1.763
11,-1.565,1.699
12,-1.492,1.833
13,-1.481,1.792
14,-1.593,2.696
15,-1.57,2.476
16,-1.435,2.756
17,-1.194,2.221
18,-1.796,2.756
19,-1.108,1.931
20,-1.432,2.657
21,-0.106,1.511
22,-1.137,1.99
23,-1.347,1.916
24,-0.863,2.25
25,-0.735,1.283
26,-0.842,1.375
27,-1.092,1.344
28,-1.208,1.517
29,-1.77,2.237
30,-0.6,1.51
31,-0.471,1.629
32,-1.432,2.792
33,-0.896,2.239
34,-0.514,1.768
35,-1.658,1.936
36,-2.046,3.015
37,-1.62,2.759
38,-0.358,1.639
39,-0.273,1.63
40,-0.9,1.289
41,-0.804,1.727
42,-1.328,1.943
43,-1.244,1.854
44,0.234,1.49
45,0.683,2.107
46,0.811,1.238
47,0.89,0.982
48,0.926,0.845
49,0.747,1.283
50,0.664,2.039
51,0.458,2.346
52,0.328,1.903
53,0.752,1.149
54,0.78,0.886
55,0.843,0.763
56,0.714,1.238
57,0.348,2.002
58,0.281,2.328
59,0.511,2.103
60,0.651,1.826
61,0.716,1.806
62,0.762,1.74
63,-0.384,2.116
64,0.37,1.756
65,0.543,1.69
66,0.645,1.591
67,0.436,2.386
68,0.554,1.709
69,0.612,1.584
70,0.375,2.3
71,0.447,2.402
72,-1.452,1.898
73,-1.455,1.869
